F_MAMH,NAMHOC,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,COMPULSARY,avg_TKET,std_TKET,range_TKET,PASS_RATE,LEVEL
MT1005,2020,CK,CK,Giải tích 2,4,Toán và KH Tự nhiên,DC,2,5.095982142857143,2.653361378468397,10.0,73.36309523809523,2
MT1007,2020,CK,CK,Đại số tuyến tính,3,Toán và KH Tự nhiên,DC,2,6.742215785662563,2.150451388358421,10.0,91.16582186821144,2
MT1009,2020,CK,CK,Phương pháp tính,3,Toán và KH Tự nhiên,DC,3,6.480211081794195,2.6050462071493046,10.0,84.03693931398418,2
MT2013,2020,CK,CK,Xác suất và thống kê,4,Toán và KH Tự nhiên,DC,4,0.0,0.0,,0.0,0
PH1003,2020,CK,CK,Vật lý 1,4,Toán và KH Tự nhiên,DC,1,6.126168224299065,1.5991903826123348,9.5,93.28802039082413,1
PH1005,2020,CK,CK,Vật lý 2,4,Toán và KH Tự nhiên,DC,2,6.328659070990359,1.6188995743748487,9.5,93.86503067484662,1
PH1007,2020,CK,CK,Thí nghiệm vật lý,1,Toán và KH Tự nhiên,DC,2,7.012490537471613,2.1042064483725245,10.0,92.2785768357305,2
SP1007,2020,CK,CK,Pháp luật Việt Nam đại cương,2,"Chính trị, Kinh tế, Văn hóa, Xã hội",CT,8,5.800291545189505,1.3664419700239474,8.5,91.25364431486881,2
SP1031,2020,CK,CK,Triết học Mác - Lênin,3,"Chính trị, Kinh tế, Văn hóa, Xã hội",CT,3,0.0,0.0,,0.0,0
SP1033,2020,CK,CK,Kinh tế chính trị Mác - Lênin,2,"Chính trị, Kinh tế, Văn hóa, Xã hội",CT,4,0.0,0.0,,0.0,0
SP1035,2020,CK,CK,Chủ nghĩa xã hội khoa học,2,"Chính trị, Kinh tế, Văn hóa, Xã hội",CT,5,0.0,0.0,,0.0,0
SP1037,2020,CK,CK,Tư tưởng Hồ Chí Minh,2,"Chính trị, Kinh tế, Văn hóa, Xã hội",CT,7,0.0,0.0,,0.0,0
SP1039,2020,CK,CK,Lịch sử Đảng Cộng sản Việt Nam,2,"Chính trị, Kinh tế, Văn hóa, Xã hội",CT,6,0.0,0.0,,0.0,0
