F_MAMH,NAMHOC,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,COMPULSARY,avg_TKET,std_TKET,range_TKET,PASS_RATE,LEVEL
CO4037,2020,MT,KHKH,Hệ thống thông tin quản lý,3,Tự chọn chuyên ngành,TC_C,0,5.2745098039215685,2.892998933051239,9.5,61.76470588235294,2
CO4039,2020,MT,KHDL,Bảo mật sinh trắc,3,Tự chọn chuyên ngành,TC_C,0,4.995098039215686,2.8808819280495435,10.0,62.745098039215684,3
CO4039,2020,MT,KHKH,Bảo mật sinh trắc,3,Tự chọn chuyên ngành,TC_C,0,4.995098039215686,2.8808819280495435,10.0,62.745098039215684,3
CO4311,2016,MT,KHKH,Đề cương luận văn tốt nghiệp (Khoa học Máy tính),0,Chuyên ngành,CN,7,0.0,0.0,,0.0,0
CO4313,2016,MT,KHKH,Luận văn tốt nghiệp (Khoa học Máy tính),9,Luận văn tốt nghiệp,DA_TN,8,0.0,0.0,,0.0,0
CO4337,2020,MT,KHM,Đồ án tốt nghiệp (Khoa học Máy tính),4,Tốt nghiệp,DA_TN,8,5.382352941176471,2.677534397249942,10.0,63.725490196078425,2
IM1013,2020,ALL,ALL,Kinh tế học đại cương,3,Quản lý,TC_D,0,5.40625,2.3604178826312006,8.0,84.375,2
IM1013,2016,MT,KHKH,Kinh tế học đại cương,3,Quản lý,TC_B,0,5.40625,2.3604178826312006,8.0,84.375,2
IM1023,2020,ALL,ALL,Quản lý sản xuất cho kỹ sư,3,Quản lý,TC_D,0,5.4754901960784315,2.92003784983301,10.0,65.68627450980392,2
IM1025,2020,ALL,ALL,Quản lý dự án cho kỹ sư,3,Quản lý,TC_D,0,5.4754901960784315,2.769509956814207,9.5,66.66666666666666,2
IM1027,2020,ALL,ALL,Kinh tế kỹ thuật,3,Quản lý,TC_D,0,5.387254901960785,2.8010843575205,10.0,64.70588235294117,2
IM2003,2016,MT,KHKH,Kinh tế kỹ thuật,3,Quản lý,TC_B,0,5.85,3.5827518908111835,9.0,70.0,3
IM2011,2016,MT,KHKH,Quản lý dự án cho kỹ sư,3,Quản lý,TC_B,0,6.0875,1.5524072772408595,8.5,93.75,1
IM3001,2020,ALL,ALL,Quản trị kinh doanh cho kỹ sư,3,Quản lý,TC_D,0,7.139455782312925,1.8752007316525632,9.5,95.23809523809523,1
IM3001,2016,MT,KHKH,Quản trị kinh doanh cho kỹ sư,3,Quản lý,TC_B,0,7.139455782312925,1.8752007316525632,9.5,95.23809523809523,1
IM3003,2016,MT,KHKH,Quản lý sản xuất cho kỹ sư,3,Quản lý,TC_B,0,6.201298701298701,1.604393105990836,8.5,96.1038961038961,1
LA1003,2020,ALL,ALL,Anh văn 1,2,Ngoại ngữ,NN,1,5.62719298245614,2.5972803494607644,9.5,83.33333333333334,2
LA1003,2016,ALL,ALL,Anh văn 1,2,Ngoại ngữ,NN,1,5.62719298245614,2.5972803494607644,9.5,83.33333333333334,2
LA1005,2020,ALL,ALL,Anh văn 2,2,Ngoại ngữ,NN,2,5.6265822784810124,2.5179041355433514,9.0,83.12236286919831,2
LA1005,2016,ALL,ALL,Anh văn 2,2,Ngoại ngữ,NN,2,5.6265822784810124,2.5179041355433514,9.0,83.12236286919831,2
LA1007,2020,ALL,ALL,Anh văn 3,2,Ngoại ngữ,NN,3,5.213725490196079,3.460748383394348,9.5,69.01960784313725,3
LA1007,2016,ALL,ALL,Anh văn 3,2,Ngoại ngữ,NN,3,5.213725490196079,3.460748383394348,9.5,69.01960784313725,3
LA1009,2020,ALL,ALL,Anh văn 4,2,Ngoại ngữ,NN,4,5.815533980582524,2.802301479965764,9.5,80.58252427184466,2
LA1009,2016,ALL,ALL,Anh văn 4,2,Ngoại ngữ,NN,4,5.815533980582524,2.802301479965764,9.5,80.58252427184466,2
MI1003,2020,ALL,ALL,Giáo dục quốc phòng,0,Chứng chỉ,CC,1,0.0,0.0,,0.0,0
MI1003,2016,ALL,ALL,Giáo dục quốc phòng,0,Chứng chỉ,CC,1,0.0,0.0,,0.0,0
MT1003,2020,MT,KHM,Giải tích 1,4,Toán và KH Tự nhiên,DC,1,5.67825311942959,2.1674024479847827,10.0,85.02673796791443,2
MT1003,2016,MT,KHKH,Giải tích 1,4,Toán & KH Tự nhiên,DC,1,5.67825311942959,2.1674024479847827,10.0,85.02673796791443,2
MT1005,2020,MT,KHM,Giải tích 2,4,Toán và KH Tự nhiên,DC,2,4.873824451410658,2.570082941058981,10.0,69.43573667711598,3
MT1005,2016,MT,KHKH,Giải tích 2,4,Toán & KH Tự nhiên,DC,2,4.873824451410658,2.570082941058981,10.0,69.43573667711598,3
MT1007,2020,MT,KHM,Đại số tuyến tính,3,Toán và KH Tự nhiên,DC,2,6.249603803486529,2.518325659737725,10.0,86.05388272583201,2
MT1007,2016,MT,KHKH,Đại số tuyến tính,3,Toán & KH Tự nhiên,DC,2,6.249603803486529,2.518325659737725,10.0,86.05388272583201,2
MT1009,2016,MT,KHKH,Phương pháp tính,3,Toán & KH Tự nhiên,DC,3,6.5064,2.3402396874832703,10.0,88.0,2
MT2001,2016,MT,KHKH,Xác suất và thống kê,3,Toán & KH Tự nhiên,DC,4,5.380059970014993,2.5110580656390264,10.0,79.91004497751123,2
MT2013,2020,MT,KHM,Xác suất và thống kê,4,Toán và KH Tự nhiên,DC,4,5.009803921568627,2.972631257797703,10.0,58.82352941176471,2
PE1003,2020,ALL,ALL,Giáo dục thể chất 1,0,Chứng chỉ,CC,1,5.858789625360231,1.7736899452995483,10.0,92.0749279538905,2
PE1003,2016,ALL,ALL,Giáo dục thể chất 1,0,Chứng chỉ,CC,1,5.858789625360231,1.7736899452995483,10.0,92.0749279538905,2
PE1005,2020,ALL,ALL,Giáo dục thể chất 2,0,Chứng chỉ,CC,2,5.775956284153006,1.759576817128963,10.0,91.66666666666666,2
PE1005,2016,ALL,ALL,Giáo dục thể chất 2,0,Chứng chỉ,CC,2,5.775956284153006,1.759576817128963,10.0,91.66666666666666,2
PE1007,2020,ALL,ALL,Giáo dục thể chất 3,0,Chứng chỉ,CC,3,5.6050955414012735,1.7761775051869793,10.0,92.19745222929936,2
PE1007,2016,ALL,ALL,Giáo dục thể chất 3,0,Chứng chỉ,CC,4,5.6050955414012735,1.7761775051869793,10.0,92.19745222929936,2
PH1003,2020,MT,KHM,Vật lý 1,4,Toán và KH Tự nhiên,DC,1,6.0245098039215685,1.593718398606222,9.5,92.15686274509804,1
PH1003,2016,MT,KHKH,Vật lý 1,4,Toán & KH Tự nhiên,DC,1,6.0245098039215685,1.593718398606222,9.5,92.15686274509804,1
PH1005,2016,MT,KHKH,Vật lý 2,4,Tự chọn nhóm A,TC_A,0,6.664583333333334,1.907297225664771,9.5,92.5,1
PH1007,2020,MT,KHM,Thí nghiệm vật lý,1,Toán và KH Tự nhiên,DC,2,6.8894899536321486,2.231164203347278,10.0,90.88098918083463,2
PH1007,2016,MT,KHKH,Thí nghiệm vật lý,1,Toán & KH Tự nhiên,DC,2,6.8894899536321486,2.231164203347278,10.0,90.88098918083463,2
SP1003,2016,MT,KHKH,Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin,5,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,6,6.514344262295082,1.9549449752625752,9.5,92.21311475409836,1
SP1005,2016,MT,KHKH,Tư tưởng Hồ Chí Minh,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,7,5.6953125,2.0560545010423588,8.5,87.5,2
SP1007,2020,MT,KHM,Pháp luật Việt Nam đại cương,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,8,6.428125,1.523244298142586,9.5,96.25,1
SP1007,2016,MT,KHKH,Pháp luật Việt Nam đại cương,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,5,6.428125,1.523244298142586,9.5,96.25,1
SP1009,2016,MT,KHKH,Đường lối cách mạng của Đảng Cộng sản Việt Nam,3,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,8,5.656716417910448,2.1745932312487857,8.5,80.59701492537313,2
SP1031,2020,MT,KHM,Triết học Mác - Lênin,3,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,3,5.235294117647059,2.7338236038187866,9.5,63.725490196078425,2
SP1033,2020,MT,KHM,Kinh tế chính trị Mác - Lênin,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,4,5.166666666666667,2.947001608728469,10.0,60.78431372549019,2
SP1035,2020,MT,KHM,Chủ nghĩa xã hội khoa học,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,5,5.088235294117647,3.000339720621322,10.0,59.80392156862745,3
SP1037,2020,MT,KHM,Tư tưởng Hồ Chí Minh,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,7,5.4068627450980395,2.848249759737698,10.0,62.745098039215684,2
SP1039,2020,MT,KHM,Lịch sử Đảng Cộng sản Việt Nam,2,"Chính trị,Kinh tế,Văn hóa,Xã hội",CT,6,5.063725490196078,2.908396489772337,10.0,58.82352941176471,2
